company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
60,2021,+,-,-,Reinvestor
60,2022,+,-,-,Reinvestor
60,2023,+,-,-,Reinvestor
60,2024,+,-,-,Reinvestor
61,2011,+,-,+,Mixed
61,2012,+,-,+,Mixed
61,2013,+,-,+,Mixed
61,2014,+,-,+,Mixed
61,2015,+,-,+,Mixed
61,2016,+,-,+,Mixed
61,2017,+,-,+,Mixed
61,2018,+,-,+,Mixed
61,2019,+,-,+,Mixed
61,2020,+,-,+,Mixed
61,2021,+,-,+,Mixed
61,2022,+,-,+,Mixed
61,2023,+,-,+,Mixed
61,2024,+,-,+,Mixed
62,2011,+,-,+,Mixed
62,2012,+,-,+,Mixed
62,2013,+,-,+,Mixed
62,2014,+,-,+,Mixed
62,2015,+,-,+,Mixed
62,2016,+,-,+,Mixed
62,2017,+,-,+,Mixed
62,2018,+,-,+,Mixed
62,2019,+,-,+,Mixed
62,2020,+,-,+,Mixed
62,2021,+,-,+,Mixed
62,2022,+,-,+,Mixed
62,2023,+,-,+,Mixed
62,2024,+,-,+,Mixed
63,2011,+,-,-,Reinvestor
63,2012,+,-,-,Reinvestor
63,2013,+,-,-,Reinvestor
63,2014,+,-,-,Reinvestor
63,2015,+,-,-,Reinvestor
63,2016,+,-,-,Reinvestor
63,2017,+,-,-,Reinvestor
63,2018,+,-,-,Reinvestor
63,2019,+,-,-,Reinvestor
63,2020,+,-,-,Reinvestor
63,2021,+,-,-,Reinvestor
63,2022,+,-,-,Reinvestor
63,2023,+,-,-,Reinvestor
63,2024,+,-,-,Reinvestor
64,2011,+,-,+,Mixed
64,2012,+,-,+,Mixed
64,2013,+,-,+,Mixed
64,2014,+,-,+,Mixed
64,2015,+,-,+,Mixed
64,2016,+,-,+,Mixed
64,2017,+,-,+,Mixed
64,2018,+,-,+,Mixed
64,2019,+,-,+,Mixed
64,2020,+,-,+,Mixed
64,2021,+,-,+,Mixed
64,2022,+,-,+,Mixed
64,2023,+,-,+,Mixed
64,2024,+,-,+,Mixed
65,2011,+,-,+,Mixed
65,2012,+,-,+,Mixed
65,2013,+,-,+,Mixed
65,2014,+,-,+,Mixed
65,2015,+,-,+,Mixed
65,2016,+,-,+,Mixed
65,2017,+,-,+,Mixed
65,2018,+,-,+,Mixed
65,2019,+,-,+,Mixed
65,2020,+,-,+,Mixed
65,2021,+,-,+,Mixed
65,2022,+,-,+,Mixed
65,2023,+,-,+,Mixed
65,2024,+,-,+,Mixed
66,2011,+,-,-,Reinvestor
66,2012,+,-,-,Reinvestor
66,2013,+,-,-,Reinvestor
66,2014,+,-,-,Reinvestor
66,2015,+,-,-,Reinvestor
66,2016,+,-,-,Reinvestor
66,2017,+,-,-,Reinvestor
66,2018,+,-,-,Reinvestor
66,2019,+,-,-,Reinvestor
66,2020,+,-,-,Reinvestor
66,2021,+,-,-,Reinvestor
66,2022,+,-,-,Reinvestor
66,2023,+,-,-,Reinvestor
66,2024,+,-,-,Reinvestor
67,2011,+,-,+,Mixed
67,2012,+,-,+,Mixed
67,2013,+,-,+,Mixed
67,2014,+,-,+,Mixed
67,2015,+,-,+,Mixed
67,2016,+,-,+,Mixed
67,2017,+,-,+,Mixed
67,2018,+,-,+,Mixed
67,2019,+,-,+,Mixed
67,2020,+,-,+,Mixed
67,2021,+,-,+,Mixed
67,2022,+,-,+,Mixed
67,2023,+,-,+,Mixed
67,2024,+,-,+,Mixed
68,2011,+,-,+,Mixed
68,2012,+,-,+,Mixed
68,2013,+,-,+,Mixed
68,2014,+,-,+,Mixed
68,2015,+,-,+,Mixed
68,2016,+,-,+,Mixed
68,2017,+,-,+,Mixed
68,2018,+,-,+,Mixed
68,2019,+,-,+,Mixed
68,2020,+,-,+,Mixed
68,2021,+,-,+,Mixed
68,2022,+,-,+,Mixed
68,2023,+,-,+,Mixed
68,2024,+,-,+,Mixed
69,2011,+,-,-,Reinvestor
69,2012,+,-,-,Reinvestor
69,2013,+,-,-,Reinvestor
69,2014,+,-,-,Reinvestor
69,2015,+,-,-,Reinvestor
69,2016,+,-,-,Reinvestor
69,2017,+,-,-,Reinvestor
69,2018,+,-,-,Reinvestor
69,2019,+,-,-,Reinvestor
69,2020,+,-,-,Reinvestor
69,2021,+,-,-,Reinvestor
69,2022,+,-,-,Reinvestor
69,2023,+,-,-,Reinvestor
69,2024,+,-,-,Reinvestor
70,2011,+,-,+,Mixed
70,2012,+,-,+,Mixed
70,2013,+,-,+,Mixed
70,2014,+,-,+,Mixed
70,2015,+,-,+,Mixed
70,2016,+,-,+,Mixed
70,2017,+,-,+,Mixed
70,2018,+,-,+,Mixed
70,2019,+,-,+,Mixed
70,2020,+,-,+,Mixed
70,2021,+,-,+,Mixed
70,2022,+,-,+,Mixed
70,2023,+,-,+,Mixed
70,2024,+,-,+,Mixed
71,2011,+,-,+,Mixed
71,2012,+,-,+,Mixed
71,2013,+,-,+,Mixed
71,2014,+,-,+,Mixed
71,2015,+,-,+,Mixed
71,2016,+,-,+,Mixed
71,2017,+,-,+,Mixed
71,2018,+,-,+,Mixed
71,2019,+,-,+,Mixed
71,2020,+,-,+,Mixed
71,2021,+,-,+,Mixed
71,2022,+,-,+,Mixed
71,2023,+,-,+,Mixed
71,2024,+,-,+,Mixed
72,2011,+,-,-,Reinvestor
72,2012,+,-,-,Reinvestor
72,2013,+,-,-,Reinvestor
72,2014,+,-,-,Reinvestor
72,2015,+,-,-,Reinvestor
72,2016,+,-,-,Reinvestor
72,2017,+,-,-,Reinvestor
72,2018,+,-,-,Reinvestor
72,2019,+,-,-,Reinvestor
72,2020,+,-,-,Reinvestor
72,2021,+,-,-,Reinvestor
72,2022,+,-,-,Reinvestor
72,2023,+,-,-,Reinvestor
72,2024,+,-,-,Reinvestor
73,2011,+,-,+,Mixed
73,2012,+,-,+,Mixed
73,2013,+,-,+,Mixed
73,2014,+,-,+,Mixed
73,2015,+,-,+,Mixed
73,2016,+,-,+,Mixed
73,2017,+,-,+,Mixed
73,2018,+,-,+,Mixed
73,2019,+,-,+,Mixed
73,2020,+,-,+,Mixed
73,2021,+,-,+,Mixed
73,2022,+,-,+,Mixed
73,2023,+,-,+,Mixed
73,2024,+,-,+,Mixed
74,2011,+,-,+,Mixed
74,2012,+,-,+,Mixed
74,2013,+,-,+,Mixed
74,2014,+,-,+,Mixed
74,2015,+,-,+,Mixed
74,2016,+,-,+,Mixed
74,2017,+,-,+,Mixed
74,2018,+,-,+,Mixed
74,2019,+,-,+,Mixed
74,2020,+,-,+,Mixed
74,2021,+,-,+,Mixed
74,2022,+,-,+,Mixed
74,2023,+,-,+,Mixed
74,2024,+,-,+,Mixed
75,2011,+,-,-,Reinvestor
75,2012,+,-,-,Reinvestor
75,2013,+,-,-,Reinvestor
75,2014,+,-,-,Reinvestor
75,2015,+,-,-,Reinvestor
75,2016,+,-,-,Reinvestor
75,2017,+,-,-,Reinvestor
75,2018,+,-,-,Reinvestor
75,2019,+,-,-,Reinvestor
75,2020,+,-,-,Reinvestor
75,2021,+,-,-,Reinvestor
75,2022,+,-,-,Reinvestor
75,2023,+,-,-,Reinvestor
75,2024,+,-,-,Reinvestor
76,2011,+,-,+,Mixed
76,2012,+,-,+,Mixed
76,2013,+,-,+,Mixed
76,2014,+,-,+,Mixed
76,2015,+,-,+,Mixed
76,2016,+,-,+,Mixed
76,2017,+,-,+,Mixed
76,2018,+,-,+,Mixed
76,2019,+,-,+,Mixed
76,2020,+,-,+,Mixed
76,2021,+,-,+,Mixed
76,2022,+,-,+,Mixed
76,2023,+,-,+,Mixed
76,2024,+,-,+,Mixed
77,2011,+,-,+,Mixed
77,2012,+,-,+,Mixed
77,2013,+,-,+,Mixed
77,2014,+,-,+,Mixed
77,2015,+,-,+,Mixed
77,2016,+,-,+,Mixed
77,2017,+,-,+,Mixed
77,2018,+,-,+,Mixed
77,2019,+,-,+,Mixed
77,2020,+,-,+,Mixed
77,2021,+,-,+,Mixed
77,2022,+,-,+,Mixed
77,2023,+,-,+,Mixed
77,2024,+,-,+,Mixed
78,2011,+,-,-,Reinvestor
78,2012,+,-,-,Reinvestor
78,2013,+,-,-,Reinvestor
78,2014,+,-,-,Reinvestor
78,2015,+,-,-,Reinvestor
78,2016,+,-,-,Reinvestor
78,2017,+,-,-,Reinvestor
78,2018,+,-,-,Reinvestor
78,2019,+,-,-,Reinvestor
78,2020,+,-,-,Reinvestor
78,2021,+,-,-,Reinvestor
78,2022,+,-,-,Reinvestor
78,2023,+,-,-,Reinvestor
78,2024,+,-,-,Reinvestor
79,2011,+,-,+,Mixed
79,2012,+,-,+,Mixed
79,2013,+,-,+,Mixed
79,2014,+,-,+,Mixed
79,2015,+,-,+,Mixed
79,2016,+,-,+,Mixed
79,2017,+,-,+,Mixed
79,2018,+,-,+,Mixed
79,2019,+,-,+,Mixed
79,2020,+,-,+,Mixed
79,2021,+,-,+,Mixed
79,2022,+,-,+,Mixed
79,2023,+,-,+,Mixed
79,2024,+,-,+,Mixed
80,2011,+,-,+,Mixed
80,2012,+,-,+,Mixed
80,2013,+,-,+,Mixed
80,2014,+,-,+,Mixed
80,2015,+,-,+,Mixed
80,2016,+,-,+,Mixed
80,2017,+,-,+,Mixed
80,2018,+,-,+,Mixed
80,2019,+,-,+,Mixed
80,2020,+,-,+,Mixed
80,2021,+,-,+,Mixed
80,2022,+,-,+,Mixed
80,2023,+,-,+,Mixed
80,2024,+,-,+,Mixed
81,2011,+,-,-,Reinvestor
81,2012,+,-,-,Reinvestor
81,2013,+,-,-,Reinvestor
81,2014,+,-,-,Reinvestor
81,2015,+,-,-,Reinvestor
81,2016,+,-,-,Reinvestor
81,2017,+,-,-,Reinvestor
81,2018,+,-,-,Reinvestor
81,2019,+,-,-,Reinvestor
81,2020,+,-,-,Reinvestor
81,2021,+,-,-,Reinvestor
81,2022,+,-,-,Reinvestor
81,2023,+,-,-,Reinvestor
81,2024,+,-,-,Reinvestor
82,2011,+,-,+,Mixed
82,2012,+,-,+,Mixed
82,2013,+,-,+,Mixed
82,2014,+,-,+,Mixed
82,2015,+,-,+,Mixed
82,2016,+,-,+,Mixed
82,2017,+,-,+,Mixed
82,2018,+,-,+,Mixed
82,2019,+,-,+,Mixed
82,2020,+,-,+,Mixed
82,2021,+,-,+,Mixed
82,2022,+,-,+,Mixed
82,2023,+,-,+,Mixed
82,2024,+,-,+,Mixed
83,2011,+,-,+,Mixed
83,2012,+,-,+,Mixed
83,2013,+,-,+,Mixed
83,2014,+,-,+,Mixed
83,2015,+,-,+,Mixed
83,2016,+,-,+,Mixed
83,2017,+,-,+,Mixed
83,2018,+,-,+,Mixed
83,2019,+,-,+,Mixed
83,2020,+,-,+,Mixed
83,2021,+,-,+,Mixed
83,2022,+,-,+,Mixed
83,2023,+,-,+,Mixed
83,2024,+,-,+,Mixed
84,2011,+,-,-,Reinvestor
84,2012,+,-,-,Reinvestor
84,2013,+,-,-,Reinvestor
84,2014,+,-,-,Reinvestor
84,2015,+,-,-,Reinvestor
84,2016,+,-,-,Reinvestor
84,2017,+,-,-,Reinvestor
84,2018,+,-,-,Reinvestor
84,2019,+,-,-,Reinvestor
84,2020,+,-,-,Reinvestor
84,2021,+,-,-,Reinvestor
84,2022,+,-,-,Reinvestor
84,2023,+,-,-,Reinvestor
84,2024,+,-,-,Reinvestor
85,2011,+,-,+,Mixed
85,2012,+,-,+,Mixed
85,2013,+,-,+,Mixed
85,2014,+,-,+,Mixed
85,2015,+,-,+,Mixed
85,2016,+,-,+,Mixed
85,2017,+,-,+,Mixed
85,2018,+,-,+,Mixed
85,2019,+,-,+,Mixed
85,2020,+,-,+,Mixed
85,2021,+,-,+,Mixed
85,2022,+,-,+,Mixed
85,2023,+,-,+,Mixed
85,2024,+,-,+,Mixed
86,2011,+,-,+,Mixed
86,2012,+,-,+,Mixed
86,2013,+,-,+,Mixed
86,2014,+,-,+,Mixed
86,2015,+,-,+,Mixed
86,2016,+,-,+,Mixed
86,2017,+,-,+,Mixed
86,2018,+,-,+,Mixed
86,2019,+,-,+,Mixed
86,2020,+,-,+,Mixed
86,2021,+,-,+,Mixed
86,2022,+,-,+,Mixed
86,2023,+,-,+,Mixed
86,2024,+,-,+,Mixed
87,2011,+,-,-,Reinvestor
87,2012,+,-,-,Reinvestor
87,2013,+,-,-,Reinvestor
87,2014,+,-,-,Reinvestor
87,2015,+,-,-,Reinvestor
87,2016,+,-,-,Reinvestor
87,2017,+,-,-,Reinvestor
87,2018,+,-,-,Reinvestor
87,2019,+,-,-,Reinvestor
87,2020,+,-,-,Reinvestor
87,2021,+,-,-,Reinvestor
87,2022,+,-,-,Reinvestor
87,2023,+,-,-,Reinvestor
87,2024,+,-,-,Reinvestor
88,2011,+,-,+,Mixed
88,2012,+,-,+,Mixed
88,2013,+,-,+,Mixed
88,2014,+,-,+,Mixed
88,2015,+,-,+,Mixed
88,2016,+,-,+,Mixed
88,2017,+,-,+,Mixed
88,2018,+,-,+,Mixed
88,2019,+,-,+,Mixed
88,2020,+,-,+,Mixed
88,2021,+,-,+,Mixed
88,2022,+,-,+,Mixed
88,2023,+,-,+,Mixed
88,2024,+,-,+,Mixed
89,2011,+,-,+,Mixed
89,2012,+,-,+,Mixed
89,2013,+,-,+,Mixed
89,2014,+,-,+,Mixed
89,2015,+,-,+,Mixed
89,2016,+,-,+,Mixed
89,2017,+,-,+,Mixed
89,2018,+,-,+,Mixed
89,2019,+,-,+,Mixed
89,2020,+,-,+,Mixed
89,2021,+,-,+,Mixed
89,2022,+,-,+,Mixed
89,2023,+,-,+,Mixed
89,2024,+,-,+,Mixed
90,2011,+,-,-,Reinvestor
90,2012,+,-,-,Reinvestor
90,2013,+,-,-,Reinvestor
90,2014,+,-,-,Reinvestor
90,2015,+,-,-,Reinvestor
90,2016,+,-,-,Reinvestor
90,2017,+,-,-,Reinvestor
90,2018,+,-,-,Reinvestor
90,2019,+,-,-,Reinvestor
90,2020,+,-,-,Reinvestor
90,2021,+,-,-,Reinvestor
90,2022,+,-,-,Reinvestor
90,2023,+,-,-,Reinvestor
90,2024,+,-,-,Reinvestor
91,2011,+,-,+,Mixed
91,2012,+,-,+,Mixed
91,2013,+,-,+,Mixed
91,2014,+,-,+,Mixed
91,2015,+,-,+,Mixed
91,2016,+,-,+,Mixed
91,2017,+,-,+,Mixed
91,2018,+,-,+,Mixed
91,2019,+,-,+,Mixed
91,2020,+,-,+,Mixed
91,2021,+,-,+,Mixed
91,2022,+,-,+,Mixed
91,2023,+,-,+,Mixed
91,2024,+,-,+,Mixed
92,2011,+,-,+,Mixed
92,2012,+,-,+,Mixed
92,2013,+,-,+,Mixed
92,2014,+,-,+,Mixed
92,2015,+,-,+,Mixed
92,2016,+,-,+,Mixed
92,2017,+,-,+,Mixed
92,2018,+,-,+,Mixed
92,2019,+,-,+,Mixed
92,2020,+,-,+,Mixed
92,2021,+,-,+,Mixed
92,2022,+,-,+,Mixed
92,2023,+,-,+,Mixed
92,2024,+,-,+,Mixed
